Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status
31,2001,2001-12-22,15,15,24,NWE,,MIA,W 20-13,*,11,19,57.89,108,1,0,91.6,3,14,5.68,6.74,3,-5,-1.67,0,1,1,23,23,0,100.00%,23,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,
32,2001,2002-01-06,16,17,24,NWE,0,CAR,W 38-6,*,17,29,58.62,198,1,2,62.1,1,2,6.83,4.41,1,2,2,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,
33,2002,2002-09-09,1,1,25,NWE,,PIT,W 30-14,*,29,43,67.44,294,3,0,110,2,14,6.84,8.23,0,0,,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
34,2002,2002-09-15,2,2,25,NWE,0,NYJ,W 44-7,*,25,35,71.43,269,2,1,100.8,0,0,7.69,7.54,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
35,2002,2002-09-22,3,3,25,NWE,,KAN,W 41-38,*,39,54,72.22,410,4,1,110.9,4,11,7.59,8.24,1,2,2,0,0,0,0,,0,0.00%,,0,0,1,0,0,2,0,0,0,0,,0,,,,,,,
36,2002,2002-09-29,4,4,25,NWE,0,SDG,L 14-21,*,36,53,67.92,353,2,2,83.3,0,0,6.66,5.72,1,3,3,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
37,2002,2002-10-06,5,5,25,NWE,0,MIA,L 13-26,*,17,31,54.84,240,2,2,74.7,3,32,7.74,6.13,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,1,0,1,0,0,0,0,,0,,,,,,,
38,2002,2002-10-13,6,6,25,NWE,,GNB,L 10-28,*,24,44,54.55,183,1,3,44,2,17,4.16,1.55,5,26,5.2,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,-9,0,0,0,,0,,,,,,,
39,2002,2002-10-27,7,8,25,NWE,,DEN,L 16-24,*,15,29,51.72,130,1,0,75.4,5,20,4.48,5.17,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
40,2002,2002-11-03,8,9,25,NWE,0,BUF,W 38-7,*,22,26,84.62,265,3,0,147.6,1,2,10.19,12.5,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
41,2002,2002-11-10,9,10,25,NWE,0,CHI,W 33-30,*,36,55,65.45,328,3,1,92.1,2,13,5.96,6.24,3,16,5.33,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,-3,0,0,0,,0,,,,,,,
42,2002,2002-11-17,10,11,25,NWE,0,OAK,L 20-27,*,18,30,60,172,0,0,76,4,25,5.73,5.73,1,1,1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
43,2002,2002-11-24,11,12,25,NWE,,MIN,W 24-17,*,21,34,61.76,239,3,0,112.3,2,20,7.03,8.79,6,4,0.67,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,-10,0,0,0,,0,,,,,,,
44,2002,2002-11-28,12,13,25,NWE,0,DET,W 20-12,*,18,30,60,210,0,1,67.4,0,0,7,5.5,4,12,3,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
45,2002,2002-12-08,13,14,25,NWE,,BUF,W 27-17,*,15,27,55.56,183,2,0,101.3,0,0,6.78,8.26,5,-5,-1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,-10,0,0,0,,0,,,,,,,
46,2002,2002-12-16,14,15,25,NWE,0,TEN,L 7-24,*,14,29,48.28,134,0,1,47.2,3,17,4.62,3.07,2,10,5,1,0,0,0,,0,0.00%,,1,6,0,,0,0,0,0,0,0,,0,,,,,,,
47,2002,2002-12-22,15,16,25,NWE,,NYJ,L 17-30,*,19,37,51.35,133,1,1,57.6,2,14,3.59,2.92,4,24,6,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
48,2002,2002-12-29,16,17,25,NWE,,MIA,W 27-24,*,25,44,56.82,221,1,1,68.5,1,5,5.02,4.45,4,8,2,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
49,2003,2003-09-07,1,1,26,NWE,0,BUF,L 0-31,*,14,28,50,123,0,4,22.5,2,20,4.39,-2.04,0,0,,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
50,2003,2003-09-14,2,2,26,NWE,0,PHI,W 31-10,*,30,44,68.18,255,3,0,105.8,2,8,5.8,7.16,6,7,1.17,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
51,2003,2003-09-21,3,3,26,NWE,,NYJ,W 23-16,*,15,25,60,181,0,0,82.2,5,34,7.24,7.24,3,-1,-0.33,1,0,0,0,,0,0.00%,,1,6,3,1,0,1,0,0,0,0,,0,,,,,,,
52,2003,2003-09-28,4,4,26,NWE,0,WAS,L 17-20,*,25,38,65.79,289,2,3,73.2,1,8,7.61,5.11,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
53,2003,2003-10-05,5,5,26,NWE,,TEN,W 38-30,*,17,31,54.84,219,1,0,88,3,26,7.06,7.71,3,2,0.67,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
